'id'	'title'	'description'	'product_type'	'google_product_category'	'link'	'image_link'	'condition'	'availability'	'price'	'sale_price'	'gtin'	'brand'	'mpn'	'item_group_id'	'gender'	'age_group'	'color'	'material'	'pattern'	'size'	'energy_efficiency_class'	'shipping'	'is_bundle'	'multipack'	'custom_label_0'	'custom_label_1'	'custom_label_2'	'custom_label_3'	'custom_label_4'	'unit_pricing_measure'	'unit_pricing_base_measure'
'677482'	'Turtle Beach Stealth ultra kontroller til Xbox/PC/Android (sort)'	'['Xbox Series X|S, Xbox One, PC', 'Pro-Aim Focus Mode', 'Superhuman Hearing']'	'Gaming'	'Gaming > Spillkonsoller og tilbehør > Xbox > Xbox tilbehør'	'https://www.elkjop.no/product/gaming/spillkonsoller-og-tilbehor/xbox/xbox-tilbehor/turtle-beach-stealth-ultra-kontroller-til-xboxpcandroid-sort/677482'	'https://next-media.elkjop.com/image/dv_web_D1800010021743027/677482/turtle-beach-stealth-ultra-kontroller-til-xboxpcandroid-sort.jpg'	'new'	'in_stock'	'2190 NOK'	'1495 NOK'		'Turtle Beach'																			
'714965'	'Samsung Galaxy Tab A9 WiFi nettbrett 4/64GB (grafitt)'	'['8,7" TFT LCD-skjerm', 'MediaTek MT8781', 'Samsung Knox sikkerhetssystem']'	'Mobil, nettbrett og smartklokker'	'Mobil, nettbrett og smartklokker > Nettbrett'	'https://www.elkjop.no/product/mobil-nettbrett-og-smartklokker/nettbrett/samsung-galaxy-tab-a9-wifi-nettbrett-464gb-grafitt/714965'	'https://next-media.elkjop.com/image/dv_web_D1800010021746328/714965/samsung-galaxy-tab-a9-wifi-nettbrett-464gb-grafitt.jpg'	'new'	'out_of_stock'	'2390 NOK'	'990 NOK'		'Samsung'																			
'714968'	'Samsung Galaxy Tab A9 LTE nettbrett 4/64GB (grafitt)'	'['8,7" TFT LCD-skjerm', 'MediaTek MT8781', 'Samsung Knox sikkerhetssystem']'	'Mobil, nettbrett og smartklokker'	'Mobil, nettbrett og smartklokker > Nettbrett'	'https://www.elkjop.no/product/mobil-nettbrett-og-smartklokker/nettbrett/samsung-galaxy-tab-a9-lte-nettbrett-464gb-grafitt/714968'	'https://next-media.elkjop.com/image/dv_web_D1800010021746318/714968/samsung-galaxy-tab-a9-lte-nettbrett-464gb-grafitt.jpg'	'new'	'in_stock'	'2895 NOK'	'1490 NOK'		'Samsung'																			
'717350'	'Miele Koketopp KM 7361 FL (Svart)'	'['Hurtigvalg via tallrekker – ComfortSelect', '4 enkeltstående kokesoner i ulike størrelser', 'I 620 mm bredde for planlimt eller ovenpåliggende innbygging']'	'Hvitevarer'	'Hvitevarer > Komfyr & Stekeovn > Integrerte platetopper'	'https://www.elkjop.no/product/hvitevarer/komfyr-stekeovn/integrerte-platetopper/miele-koketopp-km-7361-fl-svart/717350'	'https://next-media.elkjop.com/image/dv_web_D1800010021774344/717350/miele-koketopp-km-7361-fl-svart.jpg'	'new'	'out_of_stock'	'11995 NOK'	'8995 NOK'		'Miele'																			
'722486'	'Miele Oppvaskmaskin G 7267 SCVi XXL (Rustfritt stål)'	'['I tillegg kan du spare opptil 50 % strøm med varmtvannstilkobling', 'Alt helt tørt – AutoOpen-tørking', 'Friskvannsoppvaskmaskin – fra 6.0 l liter i Automatic-programmet']'	'Hvitevarer'	'Hvitevarer > Oppvaskmaskin'	'https://www.elkjop.no/product/hvitevarer/oppvaskmaskin/miele-oppvaskmaskin-g-7267-scvi-xxl-rustfritt-stal/722486'	'https://next-media.elkjop.com/image/dv_web_D18000128274588/722486/miele-oppvaskmaskin-g-7267-scvi-xxl-rustfritt-stal.jpg'	'new'	'in_stock'	'25495 NOK'	'17995 NOK'		'Miele'									'a'										
'726740'	'Razer Tarok Essentials X gamingstol'	'['1D-armlener med myk polstring', 'Høydejustering 42-52 cm', 'Maks. vekt 130 kg']'	'Gaming'	'Gaming > Gamingstol og Gamingpult > Gamingstol'	'https://www.elkjop.no/product/gaming/gamingstol-og-gamingpult/gamingstol/razer-tarok-essentials-x-gamingstol/726740'	'https://next-media.elkjop.com/image/dv_web_D18000126314408/726740/razer-tarok-essentials-x-gamingstol.jpg'	'new'	'in_stock'	'2029 NOK'	'1995 NOK'		'Razer'																			
'729204'	'HP Smart Tank 7005 blekkprinter'	'['Skriv ut, skann og kopier', 'WiFi og USB-forbindelse', 'Mobil utskrift via HP Smart-appen']'	'PC, datautstyr og kontor'	'PC, datautstyr og kontor > Printere og kontorrekvisita > Printer'	'https://www.elkjop.no/product/pc-datautstyr-og-kontor/printere-og-kontorrekvisita/printer/hp-smart-tank-7005-blekkprinter/729204'	'https://next-media.elkjop.com/image/dv_web_D1800013033479/729204/hp-smart-tank-7005-blekkprinter.jpg'	'new'	'in_stock'	'3999 NOK'	'2990 NOK'		'HP'																			
'729566'	'Arozzi Vernazza XL Supersoft gamingstol (sort)'	'['Svært komfortabelt og mykt stoff', 'Justerbar høyde og vipping', 'Justerbare puter til hode og rygg']'	'Gaming'	'Gaming > Gamingstol og Gamingpult > Gamingstol'	'https://www.elkjop.no/product/gaming/gamingstol-og-gamingpult/gamingstol/arozzi-vernazza-xl-supersoft-gamingstol-sort/729566'	'https://next-media.elkjop.com/image/dv_web_D1800010021764285/729566/arozzi-vernazza-xl-supersoft-gamingstol-sort.jpg'	'new'	'in_stock'	'5399 NOK'	'4495 NOK'		'Arozzi'																			
'738480'	'Essentials Single Gas skjermarm (sort)'	'['Opptil 45" skjermer, opptil 13 kg', 'VESA 75x75/100x100-kompatibel', '180° pivot, +90/-90° swivel']'	'PC, datautstyr og kontor'	'PC, datautstyr og kontor > Skjermer og tilbehør > Skjermbeslag og tilbehør'	'https://www.elkjop.no/product/pc-datautstyr-og-kontor/skjermer-og-tilbehor/skjermbeslag-og-tilbehor/essentials-single-gas-skjermarm-sort/738480'	'https://next-media.elkjop.com/image/dv_web_D1800010021778947/738480/essentials-single-gas-skjermarm-sort.jpg'	'new'	'in_stock'	'799 NOK'	'699 NOK'		'Essentials Series'																			
'746281'	'Samsung Odyssey G95C LS49CG954EUXEN 49” buet VA gamingskjerm'	'['49" DualQHD 240Hz VA-skjerm', '1 ms GtG-responstid', 'AMD FreeSync Premium Pro']'	'PC, datautstyr og kontor'	'PC, datautstyr og kontor > Skjermer og tilbehør > PC-skjerm'	'https://www.elkjop.no/product/pc-datautstyr-og-kontor/skjermer-og-tilbehor/pc-skjerm/samsung-odyssey-g95c-ls49cg954euxen-49-buet-va-gamingskjerm/746281'	'https://next-media.elkjop.com/image/dv_web_D1800010021817299/746281/samsung-odyssey-g95c-ls49cg954euxen-49-buet-va-gamingskjerm.jpg'	'new'	'out_of_stock'	'12990 NOK'	'9990 NOK'		'Samsung'									'g'										
