'id'	'title'	'description'	'product_type'	'google_product_category'	'link'	'image_link'	'condition'	'availability'	'price'	'sale_price'	'gtin'	'brand'	'mpn'	'item_group_id'	'gender'	'age_group'	'color'	'material'	'pattern'	'size'	'energy_efficiency_class'	'shipping'	'is_bundle'	'multipack'	'custom_label_0'	'custom_label_1'	'custom_label_2'	'custom_label_3'	'custom_label_4'	'unit_pricing_measure'	'unit_pricing_base_measure'
'3388'	'White Shark Massacre Gaming PC'	'Seriens mægtigste  White Shark Massacre er så kraftfuld, at selv de mest krævende spil kan nydes på meget høje grafik-indstillinger med et stort antal billeder i sekundet. Dette skyldes at computeren er udstyret med ultra hurtige RAM, et dedikeret gaming-chipsæt, et af de stærkest tilgængelige CPU"'er, men ikke mindst, et super high-end gaming grafikkort.   Shark Series er luksuriøse Gaming maskiner, hvor der hverken er sparet på design, køling, kvalitet-niveau eller produktionstid, tværtimod.   Alle Shark Series maskiner er bl.a. udstyret med støjsvage vandkølingssystemer, flere systemblæsere, sprøde LED lys samt strømkabler med lækker sleeving monteret. De er også baseret på dedikerede GAMING bundkort fra ASUS/MSI, der er spækket med fordele såsom SupremeFX/AudioBoost lydkort og Intels/KillerLANs nyeste Gaming netkort (inkl. LANGUARD).       Kølig, stabil og rolig  Uanset antallet af timer der skal games eller megabyte data der skal beregnes, fortsætter maskinen køligt, stabilt og roligt.   Dette skyldes bl.a. at CPU"'en er udstyret med en vedligeholdelsesfri vandkøler fra den fineste klasse og hele computeren er bygget op omkring et gennemtænkt gaming kabinet med super airflow og støjreduktion.    Skrædderbygget og klar til fremtidige opgraderinger  Maskinens standard-opsætning anbefales til de fleste gamere, men du kan stadig udvælge komponenter helt efter dine unikke behov i konfigurations-modulet i bunden af denne side.   Der er hverken sparet på PSU eller bundkort, hvilket betyder at maskinen er ualmindelig opgraderingsklar. Ved køb af opgraderings-komponenter hos SG monteres og installeres disse gratis.    Samlet og testet af computerhajer  Vi har en simpel kernekompetence - Gaming PC"'er. Netop derfor mener vi, at vi er nordens førende hvad angår viden og erfaring på feltet.  Vi bruger adskillige timer på at samle, teste og klargøre hver eneste maskine. Der er især lagt fokus på en lækker kabelføring, test af eksterne USB/lyd porte samt en længere intensiv stresstest. Dermed minimeres risikoen for, at maskinen har fejl eller mangler når den modtages af kunden.'	'Gaming-PC'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=3388&url=https://sharkgaming.no/white-shark-massacre-gaming-pc'	'https://sharkgaming.no/media/catalog/product/3/0/3000dwhite.png'		'in_stock'	'25699 NOK'	'24199 NOK'	'5745000293216'	'SharkGaming'			'unisex'																
'3391'	'Max Bite Extreme Gaming PC'	'Kraftfuld Gaming PC    Max Bite Extreme er gaming på budget. PC"'en kan trække alle nyere spil på et højt grafisk niveau og med et stort antal billeder i sekundet.  Maskinen udmærker sig med nogle af de stærkeste hovedprocessore til prisen (Processor og grafikkort).    Max Bite Series er simple Gaming PC"'er, hvor fokus er lagt på pris kontra ydeevne - med andre ord ""Bid for pengene!"".'	'Gaming-PC'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=3391&url=https://sharkgaming.no/max-bite-extreme-v2'	'https://sharkgaming.no/media/catalog/product/s/h/sharkmaelstromflow_01.png'		'in_stock'	'9399 NOK'		'5745000293247'	'SharkGaming'			'unisex'																
'3415'	'Silent Predator Gaming PC'	'Silent Predator  Silent Predator  er så kraftig at selv de mest krevende spillene kan nytes på høye grafikkinnstillinger og et høyt antall bilder per sekund. Dette er fordi maskinen er utstyrt med ultrarask RAM, et dedikert gamingchipsett, en av de kraftigste CPU-ene (12 kjerner), og ikke minst et super high-end gaminggrafikkort.    Shark-serien Shark-serien er luksuriøse gamingmaskiner hvor det hverken er spart på design, kjøling, kvalitetsnivåer eller produksjonstid, tvert imot.    Alle maskinene i Shark-serien er bl. a. utstyrt med stillegående vannkjølingssystemer, flere vifter, kult LED-lys og strømkabler med heftige sleeves. De er også basert på dedikerte gaminghovedkort fra ASUS/MSI, fylt av fordeler som onboard gamingnettverkskort og lydkort.'	'Gaming-PC'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=3415&url=https://sharkgaming.no/silent-predator'	'https://sharkgaming.no/media/catalog/product/x/t/xtpro-silentblack_1.png'		'in_stock'	'13999 NOK'		'5745000293223'	'SharkGaming'			'unisex'																
'3677'	'ASUS PRIME A520M-K DDR4 Hovedkort (Uten Wifi)'		'Gaming-Hovedkort'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=3677&url=https://sharkgaming.no/asus-prime-a520m-k'	'https://sharkgaming.no/media/catalog/product/a/s/asus-prime-a520m-k-04.png'		'in_stock'	'629 NOK'		'4718017826921'	'Asus'			'unisex'																
'3731'	'Intel Core i3-10100F Processor'		'Gaming-Prosessor'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=3731&url=https://sharkgaming.no/intel-core-i3-10300f'	'https://sharkgaming.no/media/catalog/product/i/n/intel-core-i3-10105-01_1_2.png'		'in_stock'	'1219 NOK'		'5032037192620'	'Intel'			'unisex'																
'3765'	'Sleeving Kit - Svart/Hvit'		'Sleeving Kabler'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=3765&url=https://sharkgaming.no/sleeving-kit-white-black-grey'	'https://sharkgaming.no/media/catalog/product/s/l/sleeves-black-white_fullsize.png'		'in_stock'	'299 NOK'		''	'SharkGaming'			'unisex'																
'3766'	'Sleeving Kit - Red/Black/Grey'		'Sleeving Kabler'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=3766&url=https://sharkgaming.no/sleeving-kit-red-black-grey'	'https://sharkgaming.no/media/catalog/product/s/l/sleeves-black-red_fullsize.png'		'in_stock'	'299 NOK'		''	'SharkGaming'			'unisex'																
'3787'	'Patriot Viper STEEL RGB BLACK 2x8GB DRR4 3200Mhz RAM'		'Gaming-RAM'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=3787&url=https://sharkgaming.no/patriot-viper-steel-rgb-black-2x8-3200mhz'	'https://sharkgaming.no/media/catalog/product/p/a/patriot-viper-steel-rgb-black-2x8-3200mhz-01.png'		'in_stock'	'999 NOK'		'814914027875'	'Patriot'			'unisex'																
'3792'	'Shark Gaming Musmatta'		'Gaming-Musmatte'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=3792&url=https://sharkgaming.no/shark-gaming-mousepad'	'https://sharkgaming.no/media/catalog/product/s/g/sgmousepad_png_2_copy_1_.png'		'in_stock'	'199 NOK'		'5745000293872'	'SharkGaming'			'unisex'																
'3793'	'Shark Gaming XL Musemåtte'		'Gaming-Musmatte'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=3793&url=https://sharkgaming.no/shark-gaming-xl-mousepad'	'https://sharkgaming.no/media/catalog/product/s/g/sgmousepadxl.png'		'in_stock'	'389 NOK'		'5745000293889'	'SharkGaming'			'unisex'																
'4030'	'Shark Vortex gaming stol'		'Gaming-Stol'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=4030&url=https://sharkgaming.no/shark-gaming-vortex-gaming-stol'	'https://sharkgaming.no/media/catalog/product/s/h/sharkgaming_vortex2.png'		'in_stock'	'3149 NOK'		'5745000293520'	'SharkGaming'			'unisex'																
'4053'	'ASRock Z490 AQUA Hovedkort WIFI'		'Gaming-Hovedkort'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=4053&url=https://sharkgaming.no/asrock-z490-aqua'	'https://sharkgaming.no/media/catalog/product/a/s/asrock_z490_aqua1.png'		'in_stock'	'8999 NOK'	'7799 NOK'	'4710483931178'	'ASRock'			'unisex'																
'4185'	'NOCTUA NH-D15S chromax.black CPU kjøler'		'Kjøling'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=4185&url=https://sharkgaming.no/noctua-nh-d15s-chromax-black-cpu-cooler'	'https://sharkgaming.no/media/catalog/product/n/o/noctua-nh-u9s-chromax.black-cpu-cooler1.png'		'in_stock'	'1469 NOK'		'9010018000238'	'Noctua'			'unisex'																
'4215'	'Kingston Fury Beast 2x8GB 3200MHz RAM'		'Gaming-RAM'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=4215&url=https://sharkgaming.no/kingston-fury-beast-2x8gb-3200mhz-ram'	'https://sharkgaming.no/media/catalog/product/k/i/kingston_fury_beast2x_2.png'		'in_stock'	'939 NOK'		'740617319903'	'Kingston'			'unisex'																
'4290'	'FSP Dagger PRO 650W 80+ Gold SFX Strømforsyning'		'Gaming-Strømforsyning'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=4290&url=https://sharkgaming.no/fsp-dagger-pro-650w-80-gold'	'https://sharkgaming.no/media/catalog/product/d/a/dagger_pro_650w_2.png'		'in_stock'	'1389 NOK'		'4713224522055'	'FSP'			'unisex'																
'6010'	'Shark Receptor H70 kablet gamingheadsett'		'Gaming-Headset'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=6010&url=https://sharkgaming.no/shark-receptor-h70'	'https://sharkgaming.no/media/catalog/product/h/7/h70_frit_square.png'		'in_stock'	'1149 NOK'		'5745000293612'	'SharkGaming'			'unisex'																
'6012'	'Shark Velocity M70 Gaming Mus'		'Gaming-Mus'		'https://id.sharkgaming.no/t/t?a=1638787592&as=1817440741&t=2&tk=1&cupa_sku=6012&url=https://sharkgaming.no/shark-velocity-m70'	'https://sharkgaming.no/media/catalog/product/m/7/m70_2_png_fritlagt_2.png'		'in_stock'	'779 NOK'		'5745000293483'	'SharkGaming'			'unisex'																
