'id'	'title'	'description'	'product_type'	'google_product_category'	'link'	'image_link'	'condition'	'availability'	'price'	'sale_price'	'gtin'	'brand'	'mpn'	'item_group_id'	'gender'	'age_group'	'color'	'material'	'pattern'	'size'	'energy_efficiency_class'	'shipping'	'is_bundle'	'multipack'	'custom_label_0'	'custom_label_1'	'custom_label_2'	'custom_label_3'	'custom_label_4'	'unit_pricing_measure'	'unit_pricing_base_measure'
'36-9582'	'Beurer LB 300 Plus luftfukter svart, 45 m²'	'Nattmodus, timer og automatisk effekt for valgt fuktnivå (40, 50 eller 60 %). Be....'	'Luftfuktere'	'Elektro > Klima og luftkvalitet > Luftfuktere'	'https://www.clasohlson.com/no/Beurer-LB-300-Plus-luftfukter-svart,-45-m&sup2;/p/36-9582'	'https://images.clasohlson.com/medias/sys_master/h17/hdc/68638148919326.png'	'new'	'in_stock'	'1999 NOK'	'1599 NOK'		'BEURER'																			
'36-9867'	'Northlight Ester bordlampe glass, 43 cm, hvit'	'Elegant, stående belysning til vinduskarmen, sidebordet eller gangmøbler. Northl....'	'Bordlamper'	'Elektro > Lamper og belysning > Bordlamper'	'https://www.clasohlson.com/no/Northlight-Ester-bordlampe-glass,-43-cm,-hvit/p/36-9867'	'https://images.clasohlson.com/medias/sys_master/h0a/h42/68652278480926.jpg'	'new'	'out_of_stock'	'299.9 NOK'	'199.9 NOK'		'NORTHLIGHT'																			
'36-9952-1'	'T8 G13 LED-lysrør på 120 cm med bevegelsessensor, varmhvitt'	'Energieffektiv belysning etter behov – veksler mellom 2 og 13,3 W. T8 G13 LED-ly....'	'Lysrør'	'Elektro > Lyspærer og  rør > Lysrør'	'https://www.clasohlson.com/no/T8-G13-LED-lysror-pa-120-cm-med-bevegelsessensor,-varmhvitt/p/36-9952-1'	'https://images.clasohlson.com/medias/sys_master/he0/h06/68637117939742.png'	'new'	'in_stock'	'199.9 NOK'	'139.9 NOK'		'CLAS OHLSON'									'D'										
'40-9979'	'Dewalt DWE305PK multisag'	'Kraftfull sag i proffutførelse. Tar seg gjennom nesten alle materialer - tre, pl....'	'Bajonettsager'	'Jernvare > Elektroverktøy og maskiner > Bajonettsager'	'https://www.clasohlson.com/no/Dewalt-DWE305PK-multisag/p/40-9979'	'https://images.clasohlson.com/medias/sys_master/hb8/h05/68637466689566.png'	'new'	'in_stock'	'1749 NOK'	'1549 NOK'		'DEWALT'																			
'44-5801-1'	'Glasskrukke med skrulokk'	'Oppbevar syltetøy, tørrvarer og mye annet – h....'	'Bokser og glasskrukker'	'Hjem > Matoppbevaring > Bokser og glasskrukker'	'https://www.clasohlson.com/no/Glasskrukke-med-skrulokk/p/44-5801-1'	'https://images.clasohlson.com/medias/sys_master/hd7/h7e/68652320915486.png'	'new'	'out_of_stock'	'79.9 NOK'	'34.9 NOK'																					
'36-9581'	'Beurer LB 200 luftfukter med stille nattmodus, 30 m2'	'Brukervennlig med 3 luftfuktningsnivåer – 40, 50 eller 60%. Beurer luftfukter ha....'	'Luftfuktere'	'Elektro > Klima og luftkvalitet > Luftfuktere'	'https://www.clasohlson.com/no/Beurer-LB-200-luftfukter-med-stille-nattmodus,-30-m2/p/36-9581'	'https://images.clasohlson.com/medias/sys_master/h4c/h0a/68638148689950.png'	'new'	'in_stock'	'1699 NOK'	'1399 NOK'		'BEURER'																			
'39-2682'	'Mobildeksel med MagSafe for iPhone 15 Pro, Apple Clear Case'	'Lett, slankt deksel med ekstra god beskyttelse og perfekt passform. Apple Clear ....'	'iPhone 15 Pro deksel'	'Multimedia > Mobildeksler > iPhone 15 Pro deksel'	'https://www.clasohlson.com/no/Mobildeksel-med-MagSafe-for-iPhone-15-Pro,-Apple-Clear-Case/p/39-2682'	'https://images.clasohlson.com/medias/sys_master/h5c/h11/68638375116830.png'	'new'	'out_of_stock'	'629 NOK'	'399.9 NOK'		'APPLE'																			
'36-8085'	'Northlight batteridrevet lampe med touchfunksjon'	'batteridrevet og lett å plassere. Perfekt der det mangler elektrisk strøm. Fin å....'	'Batteridrevne lamper'	'Elektro > Lamper og belysning > Batteridrevne lamper'	'https://www.clasohlson.com/no/Northlight-batteridrevet-lampe-med-touchfunksjon/p/36-8085'	'https://images.clasohlson.com/medias/sys_master/h58/h77/68638106845214.png'	'new'	'in_stock'	'179.9 NOK'	'139.9 NOK'		'NORTHLIGHT'																			
'36-8705'	'Strømmåler til stikkontakter'	'Måler strømforbruket og kostnadene til de elektriske apparater hjemme hos deg. J....'	'Energimålere'	'Elektro > Smarthjem og hjemmeautomasjon > Energimålere'	'https://www.clasohlson.com/no/Strommaler-til-stikkontakter/p/36-8705'	'https://images.clasohlson.com/medias/sys_master/h5c/hd0/68639086706718.png'	'new'	'in_stock'	'169.9 NOK'	'99.9 NOK'																					
'36-9376'	'Varmeforflytter med termostat, veggmontert'	'Fordel varmen i hjemmet og spar strøm. Varmeforflytter med innebygd termostat – ....'	'Friskluftsventiler'	'Elektro > Ventilasjon og varmesystem > Friskluftsventiler'	'https://www.clasohlson.com/no/Varmeforflytter-med-termostat,-veggmontert/p/36-9376'	'https://images.clasohlson.com/medias/sys_master/h8e/hbe/68637094576158.png'	'new'	'out_of_stock'	'699 NOK'	'349.9 NOK'																					
'44-6270'	'Skohylle i tekstil med justerbare rom, 44,5x44,5x32 cm'	'Justerbare rom – plass til opptil 16 par sko. Praktisk, sammenleggbar skoeske me....'	'Klesoppbevaring'	'Hjem > Oppbevaring og organisering > Klesoppbevaring'	'https://www.clasohlson.com/no/Skohylle-i-tekstil-med-justerbare-rom,-44,5x44,5x32-cm/p/44-6270'	'https://images.clasohlson.com/medias/sys_master/ha3/h47/68638913134622.png'	'new'	'in_stock'	'199.9 NOK'	'149 NOK'		'CLAS OHLSON'																		'stk'	
'44-5648'	'The Pink Stuff Miracle Scrubber Kit børste, batteridrevet'	'Effektiv rengjøring med batteridrift og 4 spesialtilpassede børstehoder. The Pin....'	'Vaskeutstyr'	'Hjem > Rengjøring > Vaskeutstyr'	'https://www.clasohlson.com/no/The-Pink-Stuff-Miracle-Scrubber-Kit-borste,-batteridrevet/p/44-5648'	'https://images.clasohlson.com/medias/sys_master/hb6/hd6/68638873780254.png'	'new'	'out_of_stock'	'249.9 NOK'	'169.9 NOK'		'THE PINK STUFF'																			
'44-6340-1'	'Zalo Ultra oppvaskmiddel 7,5 dl'	'Ekstra kraftfullt oppvaskmiddel – effektiv fjerning av fett og smuss. Zalo Ultra....'	'Kjøkkenrengjøring'	'Hjem > Rengjøring > Kjøkkenrengjøring'	'https://www.clasohlson.com/no/Zalo-Ultra-oppvaskmiddel-7,5-dl/p/44-6340-1'	'https://images.clasohlson.com/medias/sys_master/h1a/h9e/68638919262238.png'	'new'	'in_stock'	'49.9 NOK'	'39.9 NOK'		'ZALO'																			
